Event Time (UTC),Analytics Event Type,Latitude,Longitude,GPS Time (UTC),Device OS,Device OS Version,Device Model,Device Language,City Name,Country / Region,App Version
2019-12-29 18:11:47.010,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:46.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:49.981,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:49.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:09.122,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:08.998,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:12.224,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:11.998,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:13:10.440,custom,29.633333333333333,-95.4,2019-12-29 18:13:09.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:13:31.940,custom,29.633333333333333,-95.4,2019-12-29 18:13:30.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:06:24.731,tap,29.627521941465908,-95.40608857767228,2019-12-29 18:06:23.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:24.735,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:06:23.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:24.944,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:06:23.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:24.982,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:06:23.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:25.129,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:06:24.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:25.591,tap,29.627521941465908,-95.40608857767228,2019-12-29 18:06:24.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:24.908,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:06:23.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:25.054,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:06:23.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:24.906,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:06:23.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:06:24.950,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:06:23.997,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
